Name;Codigo;Codigo Decimal;Comentarios;Descripcion Corta;System;Nivel
Fuga de aire;0x4100;16640;;Fuga en el circuito neumático;Air;Nivel 3
Temperatura Compresor;0x4101;16641;;Sobre temperatura Compresor;Air;Nivel 3
Falla motor Compresor;0x4102;16642;;Motor DCU del compresor presenta error;Air;Nivel 3
Presion Baja;0x4103;16643;;Presión de aire menor a 7 bar;Air;Nivel 2
Presión Críticamente Baja;0x4104;16644;;Presión de aire menor a 6 bar;Air;Nivel 7
Error compresor;0x4105;16645;;Compresor en estado de error, informar servicio técnico;Air;Nivel 3
Compresor Temp sensor;0x4106;16646;;Sensor de temperatura del compresor defectuoso, terminar viaje y reparar;Air;Nivel 3
Batterias CAN;0x4200;16896;;Perdida de comunicación CAN Baterías;Battery;Nivel 11
Baterías en Falla CATL;0x4201;16897;;Las Baterías activaron una bandera de falla;Battery;Nivel 7
Battery Catastrofic Failure CATL;0x4202;16898;;Falla en baterias que requiera apagado inmediato;Battery;Nivel 13
Sobre Temperatura Baterías;0x4203;16899;;Temperatura Baterías sobre 50°C;Battery;Nivel 7
Rutina de carga;0x4204;16900;;Falla durante la carga;Battery;Nivel 8
Liquido Ref. BTMS;0x4205;16901;Refrigerante Baterias bajo;Liquido Refrigerante BTMS Bajo;Battery;Nivel 4
BTMS en Falla;0x4206;16902;;BTMS activo una bandera de falla;Battery;Nivel 1
SOC Alto;0x4207;16903;;SOC Sobre 95%;Battery;Nivel 4
SOC Bajo;0x4208;16904;;SOC Bajo 20%;Battery;Nivel 4
SOC Critico;0x4209;16905;;SOC Críticamente bajo 5%;Battery;Nivel 7
Aislación Neg. Baja;0x420A;16906;;Aislación negativa menor a 1M Ohm;Battery;Nivel 1
Aislación Pos. Baja;0x420B;16907;;Aislación positiva menor a 1M Ohm;Battery;Nivel 1
Aislación Neg. Critica;0x420C;16908;;Aislación negativa menor a 500k Ohm;Battery;Nivel 3
Aislación Pos. Critica;0x420D;16909;;Aislación positiva menor a 500k Ohm;Battery;Nivel 3
Sobre Temperatra Baterias;0x420E;16910;;Temperatura maxima sobre 50 C;Battery;Nivel 4
Baterías en alerta CATL;0x420F;16911;;Batería en alerta, terminar viaje e informar al servicio técnico;Battery;Nivel 3
BTMS MQ T15 error;0x4210;16912;;BTMS máquina de estados en falla ;Battery;Nivel 1
BTMS MQ Precharge;0x4211;16913;;Terminar viaje, equipo falla en precarga;Battery;Nivel 1
BTMS MQ Fault;0x4212;16914;;Terminar viaje, equipo falla;Battery;Nivel 1
BTMS MQ Shutdown TO;0x4213;16915;;Terminar viaje, equipo falla en apagado;Battery;Nivel 1
BTMS MQ PowerOff TO;0x4214;16916;;Terminar viaje, equipo con falla en apagado;Battery;Nivel 1
BTMS MQ CAN Send;0x4215;16917;;Terminar viaje, comunicación CAN en falla;Battery;Nivel 1
BTMS MQ Undefined;0x4216;16918;;Terminar viaje, equipo en falla default;Battery;Nivel 1
BTMS MQ Undefined;0x4217;16919;;Terminar viaje, equipo en falla default;Battery;Nivel 1
BTMS en Falla - No fault ;0x4218;16920;;Informar servicio técnico;Battery;Nivel 1
