Name;Codigo;Codigo Decimal;Comentarios;Descripcion Corta;System;Nivel
BTMS en Falla - PTC level 1 failure IGBT breakdown;0x4219;16921;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Single PTC level 2 fault PTC over temperature, IGBT over temperature, PTC high voltage abnormality, IGBT drive voltage abnormality, PTC heater core short circuit, PTC temperature sensor open or short circuit and PTC communication loss;0x421A;16922;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla -  ;0x421B;16923;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - PTC level 1 failure IGBT breakdown;0x421C;16924;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Single PTC level 2 fault PTC over temperature, IGBT over temperature, PTC high voltage abnormality, IGBT drive voltage abnormality, PTC heater core short circuit, PTC temperature sensor open or short circuit and PTC communication loss;0x421D;16925;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x421E;16926;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x421F;16927;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4220;16928;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4221;16929;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - PTC level 1 failure IGBT breakdown;0x4222;16930;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Single PTC level 2 fault PTC over temperature, IGBT over temperature, PTC high voltage abnormality, IGBT drive voltage abnormality, PTC heater core short circuit, PTC temperature sensor open or short circuit and PTC communication loss;0x4223;16931;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4224;16932;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - PTC level 1 failure IGBT breakdown;0x4225;16933;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Single PTC level 2 fault PTC over temperature, IGBT over temperature, PTC high voltage abnormality, IGBT drive voltage abnormality, PTC heater core short circuit, PTC temperature sensor open or short circuit and PTC communication loss;0x4226;16934;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4227;16935;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4228;16936;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4229;16937;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x422A;16938;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Compressor level 2 fault The compressor voltage is too low, the compressor voltage is too high, and the compressor current is too high.;0x422B;16939;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x422C;16940;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Fan level 2 fault The cooling fan is open or shorted;0x422D;16941;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - High pressure sensor level 2 fault The refrigeration system pressure is too high, or the high voltage sensor is open, short circuit;0x422E;16942;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Low pressure sensor level 3 fault The refrigeration system pressure is too low, or the high voltage sensor is open, short circuit;0x422F;16943;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4230;16944;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - BTMS outlet temperature sensor level 2 fault Unit outlet water temperature sensor open or short circuit;0x4231;16945;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Reserved Reserved;0x4232;16946;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Water pump Pump not connected, pump overcurrent, overvoltage, short circuit;0x4233;16947;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4234;16948;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4235;16949;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Water level sensor level 2 fault Water tank water shortage, water level sensor open circuit;0x4236;16950;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - PTC water temperature sensor level 2 fault PTC outlet temperature sensor is open or shorted;0x4237;16951;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - High voltage precharge 1 level fault High voltage precharge is not completed prefill;0x4238;16952;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - K2 relay level 1 fault Reserved;0x4239;16953;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - DCDC level 1 fault DCDC overcurrent, overvoltage and DCDC failure;0x423A;16954;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Slave unit 1 level 1 fault Slave unit 1 level 1 fault occurs;0x423B;16955;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Slave unit 1 level 2 fault Slave unit 1 level 2 fault occurs;0x423C;16956;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x423D;16957;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Lost communication from unit 1 level 1 fault Communication from unit 1 to host group is lost;0x423E;16958;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Slave unit 2 level 1 fault Slave unit 2 level 1 fault occurs;0x423F;16959;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Slave unit 2 level 2 fault Slave unit 2 level 2 fault occurs;0x4240;16960;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4241;16961;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Lost communication from unit 2 level 1 fault Communication from unit 2 to host group is lost;0x4242;16962;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4243;16963;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4244;16964;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4245;16965;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - undefined ;0x4246;16966;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Low voltage power supply level 2 fault Low voltage power supply is lower than 18V or higher than 32V;0x4247;16967;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - BMS and TMS CAN communication is abnormal BTMS is not controlled;0x4248;16968;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - High voltage total loop contactor level 1 fault High voltage total loop contactor stuck or broken;0x4249;16969;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - Exhaust gas temperature level 2 fault Exhaust temperature sensor open or shorted;0x424A;16970;;Informar servicio técnico;Battery;Nivel 1
BTMS en Falla - DCDC Level 2 Fault DCDC power failure;0x424B;16971;;Informar servicio técnico;Battery;Nivel 1
Dirección CAN;0x4400;17408;;Perdida de comunicación CAN Bomba Dirección;Steering;Nivel 7
Dirección en Falla ;0x4401;17409;;Bomba de dirección activo una bandera de falla;Steering;Nivel 7
Bomba Cal. CAN;0x4800;18432;;Perdida de comunicación CAN Bomba Calefaccion;Heating;Nivel 1
Bomba de Ref. Calefa en Falla;0x4801;18433;;Bomba Calefacción activo una bandera de falla;Heating;Nivel 1
Liquido Ref. Calefacción;0x4802;18434;Liquido calefaccion bajo;Liquido Refrigerante Calefacción Bajo;Heating;Nivel 1
PTC 1 CAN;0x4803;18435;;Perdida de comunicación CAN PTC 1;Heating;Nivel 1
PTC 1 en Falla;0x4804;18436;;PTC 1 activo una bandera de falla;Heating;Nivel 1
PTC 2 CAN;0x4805;18437;;Perdida de comunicación CAN PTC 2;Heating;Nivel 1
PTC 2 en Falla;0x4806;18438;;PTC 2 activo una bandera de falla;Heating;Nivel 1
Inv. Aux. CAN;0x4C00;19456;;Perdida de comunicación CAN Inv. Auxiliar;Aux. Inv.;Nivel 6
Inv. Auxiliar en Falla;0x4C01;19457;;Inversor Auxiliar activo una bandera de falla;Aux. Inv.;Nivel 6
Temperatura Inv. Auxiliar;0x4C02;19458;;Sobre temperatura Inv. Auxiliar;Aux. Inv.;Nivel 4
PSU not Working;0x4C03;19459;;Verificar que la bateria aux se este cargando;Aux. Inv.;Nivel 2
PSU Low Voltage;0x4C04;19460;;verificar que la tension auxiliar no se menor a un umbral;Aux. Inv.;Nivel 6
PSU Fault;0x4C05;19461;;verificar que no haya activado su bandera de falla;Aux. Inv.;Nivel 6
DCU Fault;0x4C06;19462;;verificar que no haya activado su bandera de falla;Aux. Inv.;Nivel 7
SCU HV Fuse;0x4C07;19463;Lenze sin ignición;Verificar fusible y T15 de Lenze;Aux. Inv.;Nivel 7
TPD Fault - DCU error;0x4C08;19464;TPD presenta falla;Verificar error en mensaje de monitoring;Aux. Inv.;Nivel 3
TPD Fault - Compressor error;0x4C09;19465;;Compresor presenta falla, consultar con servicio técnico;Aux. Inv.;Nivel 3
TPD Fault - AC timeout;0x4C0A;19466;;Compresor AC no responde, verificar conexión;Aux. Inv.;Nivel 3
TPD Fault - Compressor timeout;0x4C0B;19467;;Compresor servicio no responde, verificar conexión;Aux. Inv.;Nivel 3
TPD Fault - Both switch open;0x4C0C;19468;;Switch de TPD pegados, consultar con servicio técnico;Aux. Inv.;Nivel 3
TPD Fault - Disengage timeout;0x4C0D;19469;;Potencia no baja lo suficiente, consultar con servicio técnico;Aux. Inv.;Nivel 3
TPD Fault - AC comp error;0x4C0E;19470;;Compresor AC presenta falla, consultar con servicio técnico;Aux. Inv.;Nivel 3
TPD Fault - Default error;0x4C0F;19471;;Error en módulo TPD;Aux. Inv.;Nivel 3
PSU Warning;0x4C11;19473;;Alerta en Lenze 24Vdc, consultar con servicio técnico;Aux. Inv.;Nivel 1
DCU Warning;0x4C12;19474;;Alerta en Lenze AC, consultar con servicio técnico;Aux. Inv.;Nivel 4
Inv. Motor CAN;0x4D00;19712;;Perdida de comunicación CAN Inversor Motor;Motor;Nivel 10
Inv. Motor en Falla;0x4D01;19713;;Inversor Motor activo una bandera de falla;Motor;Nivel 10
Bomba Motor CAN;0x4D02;19714;;Perdida de comunicación CAN Bomba Ref. Motor;Motor;Nivel 1
Bomba de Ref. Motor en Falla;0x4D03;19715;;Bomba Ref. Motor activo una bandera de falla;Motor;Nivel 4
Liquido Ref. Motor;0x4D04;19716;Liquido de refigerancion bajo;Liquido Refrigerante Motor Bajo;Motor;Nivel 5
Regeneracion Limitada;0x4D05;19717;Poco freno regenerativo disponible;Corriente de Regeneracion máxima bajo 150A;Motor;Nivel 4
Motor con sobretemperatura;0x4D06;19718;Motor sobrecalentado;Motor sobrecalentado, opere con precaución;Motor;Nivel 1
Apertura DC-Link Intespestiva;0x5001;20481;;Perdida de tensión en DC-LINK durante operación;PDU;Nivel 13
Contactor no Cierra;0x5002;20482;;Contactor positivo No cerro correctamente;PDU;Nivel 2
Contactor no Abre;0x5003;20483;;Contactor positivo No abre y dc link queda energizado;PDU;Nivel 3
Precarga en Falla;0x5004;20484;;Falla durante la precarga de la PDU;PDU;Nivel 2
Descarga en Falla;0x5005;20485;;DC Link descarga pero lento;PDU;Nivel 2
Precarga no cierra;0x5006;20486;;La tension de la bara DC no supero los 100V en ningún moment, revisar relé y resistencias de precarga;PDU;Nivel 2
CAN 1;0x5300;21248;;Falla en salida de msg CAN 1;System;Nivel 10
CAN 2;0x5301;21249;;Falla en salida de msg CAN 2;System;Nivel 10
CAN 3;0x5302;21250;;Falla en salida de msg CAN 3;System;Nivel 11
CAN 4;0x5304;21252;;Falla en salida de msg CAN 4;System;Nivel 4
ACU CAN;0x5305;21253;;Perdida de comunicación CAN con la ACU;System;Nivel 8
Tensión Auxiliar;0x5306;21254;;Tensión batería auxiliar baja;System;Nivel 6
Eeprom error;0x5307;21255;;Error en la eeprom;System;Nivel 1
Botón de Emergencia;0x5308;21256;Boton de emergencia activado;Botón de emergencia fue presionado;System;Nivel 12
Verificación Controles;0x5309;21257;Verifique controles;Verificar Maxi enganchado, Neutro, Pedal Cero;System;Nivel 0
Key Off on Drive;0x530A;21258;;Perdida de chapa en drive;System;Nivel 2
Power Off Inverter Timeout;0x530B;21259;;El inverter se demoro mucho en pasar a Standby durante  el apagado del bus;System;Nivel 10
Power Off Aux Current Timeout;0x530C;21260;;Corriente auxiliar no bajo del umbral de apertura segura;System;Nivel 1
Power Off PDU Open Timeout;0x530D;21261;;La PDU no se abrio en el tiempo estipulado;System;Nivel 13
Power Off Battery Open Timeout;0x530E;21262;;La BDU no se abrio en el tiempo estipulado;System;Nivel 13
Vision sin Respuesta;0x530F;21263;;La interfaz grafica no envia la señal de vida;System;Nivel 1
Power On PDU Circuit;0x5310;21264;;PDU en estado de falla;System;Nivel 3
Power On Battery CAN;0x5311;21265;;No se logro establecer una comunicación CAN con la Bateria de manera estable;System;Nivel 1
Power On Protocol Inverter;0x5312;21266;;No se logro establecer una comunicación CAN con el Motor de manera estable;System;Nivel 1
Power On Battery Ready;0x5313;21267;;No se recibió feedback de cierre de contactor negativo de la BDU;System;Nivel 1
Power On PDU Close;0x5314;21268;;PDU no pudo alcanzar la tensión objetivo;System;Nivel 2
Power On HVIL;0x5315;21269;;HVIL abierto antes de energizacion;System;Nivel 2
HVIL Con Velocidad;0x5316;21270;;Cubierta de equipo de alta tension abierta o conexión de alta tension desconectada mientras el bus esta en movimiento;System;Nivel 8
HVIL Sin Velocidad;0x5317;21271;;Cubierta de equipo de alta tension abierta o conexión de alta tension desconectada mientras el bus esta en detencion;System;Nivel 8
Throttle Stuck;0x5318;21272;Limpiar Pedal;Pedal no retorna a Cero al soltarlo;System;Nivel 4
Botonera CAN en falla;0x5319;21273;Verificar conexión en módulo;No se recibe el mensaje de funcionamiento de la botonera;System;Nivel 3
Throttle Errors;0x531A;21274;Pedal con Error de lectura;El pedal tiene errores de lectura;System;Nivel 3
AC_Comp_CAN;0x5400;21504;Posible falla en linea CAN 2;Timeout recepcion mensaje feedback AC_Comp;AC;Nivel 2
AC_Comp_Start;0x5401;21505;Rotor compresor bloqueado;Compresor no llego a la velocidad requerida;AC;Nivel 1
AC_Comp_Over_Current;0x5402;21506;Falla en el compresor (remplazar);sobre corriente compresor;AC;Nivel 1
AC_Comp_Over_Voltage;0x5403;21507;Falla eléctrica HVDC;sobre tensión HVDC en el compresor;AC;Nivel 1
AC_Comp_Under_Voltage;0x5404;21508;No llega tensión HVDC revisar conexión alta tensión;Baja tensión HVDC en el compresor;AC;Nivel 1
AC_Comp_Over_Temperature;0x5405;21509;Sobre temperatura compresor, posible problema con el gas;Sobre temperatura en el compresor;AC;Nivel 1
AC_Comp_Comunication;0x5406;21510;Compresor levantó una falla en la transmisión CAN, verificar presencia msg de Compresor en CAN 2;Falla de comunicación CAN detectada por el compresor;AC;Nivel 1
PTC1 AbnormalHighVoltage;0x5500;21760;Voltaje fuera de rango en barra DC;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 ReverseHighVoltage;0x5501;21761;Voltaje invertido en barra DC;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 AbnormalIGBTVoltage;0x5502;21762;Voltaje fuera de rango en el control;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 Overtemperature;0x5503;21763;Sobretemperatura en manguera de salida;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 IGBTOvertemperature;0x5504;21764;Sobretemperatura en el control;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 CANMissing;0x5505;21765;Falla de comunicación con el módulo;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 IGBT1Breakdown;0x5506;21766;Error en el control, reemplazar;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 IGBT2Breakdown;0x5507;21767;Error en el control, reemplazar;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 IGBT1OpenCircuit;0x5508;21768;Error en el control, reemplazar;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 IGBT2OpenCircuit;0x5509;21769;Error en el control, reemplazar;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 OutTemperatureSensorOpenCircuit;0x550A;21770;Falla sensor de temperatura en manguera de salida;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 OutTemperatureSensorShortCircuit;0x550B;21771;Falla sensor de temperatura en manguera de salida;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 IGBTTemperatureSensorOpenCircuit;0x550C;21772;Falla sensor de temperatura en control;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 IGBTTemperatureSensorShortCircuit;0x550D;21773;Falla sensor de temperatura en control;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC1 Flow Stuck;0x550E;21774;Flujo refrigerante en PTC estancado;PTC1 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 AbnormalHighVoltage;0x5510;21776;Voltaje fuera de rango en barra DC;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 ReverseHighVoltage;0x5511;21777;Voltaje invertido en barra DC;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 AbnormalIGBTVoltage;0x5512;21778;Voltaje fuera de rango en el control;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 Overtemperature;0x5513;21779;Sobretemperatura en manguera de salida;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 IGBTOvertemperature;0x5514;21780;Sobretemperatura en el control;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 CANMissing;0x5515;21781;Falla de comunicación con el módulo;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 IGBT1Breakdown;0x5516;21782;Error en el control, reemplazar;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 IGBT2Breakdown;0x5517;21783;Error en el control, reemplazar;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 IGBT1OpenCircuit;0x5518;21784;Error en el control, reemplazar;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 IGBT2OpenCircuit;0x5519;21785;Error en el control, reemplazar;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 OutTemperatureSensorOpenCircuit;0x551A;21786;Falla sensor de temperatura en manguera de salida;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 OutTemperatureSensorShortCircuit;0x551B;21787;Falla sensor de temperatura en manguera de salida;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 IGBTTemperatureSensorOpenCircuit;0x551C;21788;Falla sensor de temperatura en control;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 IGBTTemperatureSensorShortCircuit;0x551D;21789;Falla sensor de temperatura en control;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC2 Flow Stuck;0x551E;21790;Flujo refrigerante en PTC estancado;PTC2 en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
PTC Default Error;0x5520;21792;Falla general en PTC, error en diagnóstico;PTC en falla, terminar viaje y enviar a revisión;ACU;Nivel 1
ASR limit active;0x5601;22017;ASR limita torque motor;ASR activo, precaución;MB chasis;Nivel 4
