input_value,return_value
3.466,100
3.334,95
3.332,90
3.331,85
3.330,80
3.329,75
3.328,70
3.328,65
3.327,60
3.298,55
3.290,50
3.289,45
3.288,40
3.288,35
3.286,30
3.270,25
3.253,20
3.229,15
3.204,10
3.184,5
2.800,0
